"","1","2","3","MeanDecreaseAccuracy","MeanDecreaseGini","description","hmr","mar"
"1",-1.00125234864352,0,0,-1.00125234864352,0.0609627137464322,"Glycolysis / Gluconeogenesis","HMR_4355","MAR04355"
"2",0,0,0,0,0.0341232253135172,"Glycolysis / Gluconeogenesis","HMR_4358","MAR04358"
"3",0.750654048126053,-0.612948553844528,0.397741642777417,0.252080301094845,0.281815536165919,"Glycolysis / Gluconeogenesis","HMR_4363","MAR04363"
"4",0.645004353231768,-1.1037225171753,2.79030373843227,1.06598187583337,0.216386689418985,"Glycolysis / Gluconeogenesis","HMR_4365","MAR04365"
"5",-1.36672728726538,-1.02856120685473,2.29801495017417,-0.814961789669965,0.192245483108539,"Glycolysis / Gluconeogenesis","HMR_4368","MAR04368"
"6",0,0,0,0,0,"Glycolysis / Gluconeogenesis","HMR_4371","MAR04371"
"7",-0.122625133152865,0.27455798059538,-1.04391249248348,-0.297045362259411,0.214826499795155,"Glycolysis / Gluconeogenesis","HMR_4373","MAR04373"
"8",0.687106426082171,1.63297889012314,-0.777078813913652,1.47661363800239,0.187203465906742,"Glycolysis / Gluconeogenesis","HMR_4375","MAR04375"
"9",0.867770361344038,0.766228607086691,1.00125234864352,1.22808416075836,0.113537033929506,"Glycolysis / Gluconeogenesis","HMR_4381","MAR04381"
"10",-1.46108098169283,0.535620431202525,0.651001187747196,-0.819174750311312,0.114817304577076,"Glycolysis / Gluconeogenesis","HMR_4391","MAR04391"
"11",-0.835530837467382,0,0.128039503720102,-0.626357864123623,0.110807083394346,"Glycolysis / Gluconeogenesis","HMR_4394","MAR04394"
"12",-0.821165089675095,1.2438813613917,0.420657018286144,-0.0511901893598878,0.162184082723321,"Glycolysis / Gluconeogenesis","HMR_4396","MAR04396"
"13",1.45039455434004,-0.520632762785274,1.06174424041921,0.902230871749412,0.224485846998743,"Galactose metabolism","HMR_3944","MAR03944"
"14",-0.325654273584744,-0.471457863658204,-0.160114477228241,-0.736884346364902,0.168377801786917,"Galactose metabolism","HMR_4128","MAR04128"
"15",1.36911551737808,0.275679422116608,0.763854287563825,1.7458186134709,0.233235564868913,"Galactose metabolism","HMR_4130","MAR04130"
"16",0.735884442751428,-0.48423264581715,-1.00125234864352,-0.0396335038248409,0.200348170193779,"Galactose metabolism","HMR_8767","MAR08767"
"17",0,1.4148686271765,0,1.41729423740154,0.0274910644910645,"Fructose and mannose metabolism","HMR_0454","MAR00454"
"18",-1.00125234864352,-0.596929186236702,-1.00125234864352,-1.37522446680685,0.0540774485930736,"Pyruvate metabolism","HMR_4193","MAR04193"
"19",1.48440504920271,0.653140221047237,-1.13204409762856,1.66916571608686,0.146383140197126,"Pentose phosphate pathway","HMR_4304","MAR04304"
"20",1.00125234864352,0,0,1.00125234864352,0.00887596899224807,"Pentose phosphate pathway","HMR_4350","MAR04350"
"21",0.793319216733302,-1.69706875265121,-0.404308629539244,-0.622173774016457,0.19278087205516,"Pentose phosphate pathway","HMR_4352","MAR04352"
"22",0.709597671937342,0.245592476096638,-1.69342953927089,0.205675555898531,0.18669617138826,"Pentose phosphate pathway","HMR_4354","MAR04354"
"23",0.817564073284942,0.90928667720815,1.20610745523991,1.19952963413112,0.342643585592864,"Pentose phosphate pathway","HMR_4404","MAR04404"
"24",0.891829927194068,1.23477399019323,1.12161012088664,1.85239599459204,0.372607823791721,"Pentose phosphate pathway","HMR_4477","MAR04477"
"25",-0.610663969332306,-0.805634936051458,1.38231021617629,-0.4840843139175,0.258940916038999,"Pentose phosphate pathway","HMR_4501","MAR04501"
"26",-0.0519626491271416,-0.341429470929187,-1.32864166001309,-0.645323526066552,0.152587818872164,"Pentose phosphate pathway","HMR_4565","MAR04565"
"27",-0.153122313996994,0,0,-0.00878376658539906,0.0280272123624525,"Pentose phosphate pathway","HMR_4567","MAR04567"
"28",0.999965093482546,-1.18688956029025,1.00125234864352,0.39934741697163,0.058168145238984,"Pentose phosphate pathway","HMR_8653","MAR08653"
"29",-0.868100821786271,-0.831018455060859,0.00750882645096097,-0.94001465013814,0.269123482137424,"Purine metabolism","HMR_4002","MAR04002"
"30",1.34466970471058,0.207262232532654,0,1.04487517752438,0.0640469989690373,"Purine metabolism","HMR_4004","MAR04004"
"31",0,0,0,0,0,"Purine metabolism","HMR_4020","MAR04020"
"32",0,0,0,0,0.0210328865394842,"Purine metabolism","HMR_4080","MAR04080"
"33",1.28386088918321,1.64412417101363,-1.36839925202785,1.14004595848898,0.175924324007675,"Purine metabolism","HMR_4085","MAR04085"
"34",-0.59605480259789,-1.00125234864352,0.739333211710081,-0.555484316854893,0.155276710569104,"Purine metabolism","HMR_4171","MAR04171"
"35",0,0,0,0,0.0257304703099114,"Purine metabolism","HMR_4418","MAR04418"
"36",1.21491347846157,0,1.00125234864352,1.1841193575652,0.0611370681124016,"Purine metabolism","HMR_4421","MAR04421"
"37",0,0,0,0,0.034990496904816,"Purine metabolism","HMR_4452","MAR04452"
"38",-1.31471745287295,1.00125234864352,-1.00125234864352,-1.41632549951185,0.0255255612241605,"Purine metabolism","HMR_4480","MAR04480"
"39",0,-1.00125234864352,0,-1.00125234864352,0.0555039593567577,"Purine metabolism","HMR_4573","MAR04573"
"40",0,0,0,0,0,"Purine metabolism","HMR_4600","MAR04600"
"41",0.609617735998448,0.172193518388389,0.0743299279547208,0.511391387809435,0.0928507985032507,"Purine metabolism","HMR_4603","MAR04603"
"42",0.899459075216419,-1.00125234864352,0,0.789775961911206,0.0290726356976357,"Purine metabolism","HMR_4611","MAR04611"
"43",0,0,0,0,0.00485625000000001,"Purine metabolism","HMR_4612","MAR04612"
"44",0.701614359207724,0.465435753560927,-0.569703018998759,0.519769650150755,0.199643382842209,"Purine metabolism","HMR_4651","MAR04651"
"45",0.523244082837814,1.00125234864352,0,0.800524881486915,0.0323635531135531,"Purine metabolism","HMR_4695","MAR04695"
"46",0,0,0,0,0,"Purine metabolism","HMR_5353","MAR05353"
